Datenreihe;Verbrauch (Strom) - E001001_0_000000000000000;Verbrauch (Strom) - E001002_0_000000000000000
27.11.2018 07:00;2,224;0
27.11.2018 08:00;4,563;0
27.11.2018 09:00;5,221;0
27.11.2018 10:00;4,891;0
27.11.2018 11:00;4,82;0
27.11.2018 12:00;4,205;0
27.11.2018 13:00;3,675;0
27.11.2018 14:00;4,991;0
27.11.2018 15:00;3,759;0
27.11.2018 16:00;4,523;0
27.11.2018 17:00;4,492;0
27.11.2018 18:00;4,484;0
27.11.2018 19:00;4,668;0
27.11.2018 20:00;4,288;0
27.11.2018 21:00;4,214;0
27.11.2018 22:00;3,958;0
27.11.2018 23:00;2,413;0
28.11.2018 00:00;1,716;0
28.11.2018 01:00;1,643;0
28.11.2018 02:00;1,576;0
28.11.2018 03:00;1,536;0
28.11.2018 04:00;1,619;0
28.11.2018 05:00;1,654;0
28.11.2018 06:00;1,616;0
28.11.2018 07:00;2,102;0
28.11.2018 08:00;6,553;0
28.11.2018 09:00;5,971;0
28.11.2018 10:00;5,055;0
28.11.2018 11:00;4,508;0
28.11.2018 12:00;3,85;0
28.11.2018 13:00;5,365;0
28.11.2018 14:00;2,662;0
28.11.2018 15:00;2,881;0
28.11.2018 16:00;4,434;0
28.11.2018 17:00;4,422;0
28.11.2018 18:00;3,954;0
28.11.2018 19:00;4,854;0
28.11.2018 20:00;5,816;0
28.11.2018 21:00;5,486;0
28.11.2018 22:00;4,736;0
28.11.2018 23:00;2,313;0
29.11.2018 00:00;1,986;0
29.11.2018 01:00;1,74;0
29.11.2018 02:00;1,731;0
29.11.2018 03:00;1,719;0
29.11.2018 04:00;1,748;0
29.11.2018 05:00;1,699;0
29.11.2018 06:00;1,725;0
29.11.2018 07:00;2,226;0
29.11.2018 08:00;4,764;0
29.11.2018 09:00;4,371;0
29.11.2018 10:00;11,719;0
29.11.2018 11:00;12,752;0
29.11.2018 12:00;11,379;0
29.11.2018 13:00;10,095;0
29.11.2018 14:00;12,552;0
29.11.2018 15:00;13,942;0
29.11.2018 16:00;14,433;0
29.11.2018 17:00;14,008;0
29.11.2018 18:00;14,831;0
29.11.2018 19:00;12,947;0
29.11.2018 20:00;4,951;0
29.11.2018 21:00;6,435;0
29.11.2018 22:00;6,019;0
29.11.2018 23:00;3,688;0
30.11.2018 00:00;3,644;0
30.11.2018 01:00;3,123;0
30.11.2018 02:00;2,583;3,514
30.11.2018 03:00;2,111;3,413
30.11.2018 04:00;2,189;3,451
30.11.2018 05:00;2,216;3,413
30.11.2018 06:00;2,189;3,788
30.11.2018 07:00;2,531;5,326
30.11.2018 08:00;4,724;3,876
30.11.2018 09:00;3,749;4,039
30.11.2018 10:00;5,252;6,44
30.11.2018 11:00;7,343;16,314
30.11.2018 12:00;7,711;23,064
30.11.2018 13:00;6,146;14,79
30.11.2018 14:00;3,3;8,714
30.11.2018 15:00;4,497;6,84
30.11.2018 16:00;6,677;7,002
30.11.2018 17:00;4,307;16,84
30.11.2018 18:00;4,281;18,576
30.11.2018 19:00;4,106;9,126
30.11.2018 20:00;3,383;5,089
30.11.2018 21:00;4,549;6,914
30.11.2018 22:00;4,703;4,338
30.11.2018 23:00;2,964;5,151
01.12.2018 00:00;2,198;4,426
01.12.2018 01:00;1,801;3,988
01.12.2018 02:00;1,794;3,526
01.12.2018 03:00;1,758;3,451
01.12.2018 04:00;1,724;3,439
01.12.2018 05:00;1,703;3,889
01.12.2018 06:00;1,624;3,938
01.12.2018 07:00;2,364;5,751
01.12.2018 08:00;3,594;4,413
01.12.2018 09:00;3,619;5,476
01.12.2018 10:00;5,494;5,839
01.12.2018 11:00;7,17;8,427
01.12.2018 12:00;10,594;16,502
01.12.2018 13:00;8,307;17,327
01.12.2018 14:00;4,493;13,727
01.12.2018 15:00;5,653;11,714
01.12.2018 16:00;3,81;7,952
01.12.2018 17:00;5,215;22,101
01.12.2018 18:00;5,036;20,177
01.12.2018 19:00;5,806;6,314
01.12.2018 20:00;5,958;5,626
01.12.2018 21:00;6,246;6,701
01.12.2018 22:00;5,598;4,676
01.12.2018 23:00;3,839;4,25
02.12.2018 00:00;2,401;4,289
02.12.2018 01:00;2,131;4,426
02.12.2018 02:00;1,886;3,576
02.12.2018 03:00;1,814;3,601
02.12.2018 04:00;1,827;3,451
02.12.2018 05:00;1,806;3,426
02.12.2018 06:00;1,783;3,876
02.12.2018 07:00;2,498;5,776
02.12.2018 08:00;4,322;4,126
02.12.2018 09:00;3,423;5,513
02.12.2018 10:00;13,806;4,427
02.12.2018 11:00;22,154;6,226
02.12.2018 12:00;20,943;21,815
02.12.2018 13:00;19,179;17,99
02.12.2018 14:00;18,626;5,939
02.12.2018 15:00;18,977;6,026
02.12.2018 16:00;7,087;6,553
